file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\anvil_bench.exe,1,4,48,19.1106,1.4424,23.7099,31.0907,0
tests\corpus\anvil_bench.exe,1,5,1655,25.2748,2.33253,32.2717,36.016,0
tests\corpus\anvil_bench.exe,2,10,2300,40.2076,5.38962,50.2402,62.066,0
tests\corpus\anvil_bench.exe,2,8,843,30.6488,4.00254,45.438,55.1144,0
tests\corpus\anvil_bench.exe,1,4,2080,25.3342,2.33253,26.2457,29.7608,0
tests\corpus\anvil_bench.exe,1,36,168,24.6822,2.70753,209.032,231.473,0
tests\corpus\anvil_bench.exe,2,14,168,33.9938,5.12754,79.5649,90.5382,0
tests\corpus\anvil_bench.exe,2,121,1482,141.994,24.4963,735.251,786.006,0
tests\corpus\anvil_bench.exe,1,12,528,24.9785,2.33253,58.2189,75.4081,0
tests\corpus\anvil_bench.exe,3,244,1488,429.089,75.5328,1545.14,1591.25,0
tests\corpus\anvil_bench.exe,1,5,249,24.7838,1.95753,32.2228,39.9404,0
tests\corpus\anvil_bench.exe,2,10,1487,33.5798,4.50254,50.1129,60.2785,0
tests\corpus\anvil_bench.exe,1,6,1392,25.2299,3.20753,27.3002,34.559,0
tests\corpus\anvil_bench.exe,2,114,1488,101.427,16.2988,774.049,786.711,0
tests\corpus\anvil_bench.exe,1,14,149,24.6512,2.20753,93.604,102.372,0
tests\corpus\anvil_bench.exe,2,137,1486,204.563,34.5307,863.445,887.936,0
tests\corpus\anvil_bench.exe,1,6,2335,25.3642,3.45753,40.0022,46.8816,0
tests\corpus\anvil_bench.exe,3,23,2342,41.2094,7.18417,131.99,148.831,0
tests\corpus\anvil_bench.exe,1,14,10509,25.7547,3.83253,95.9085,103.424,0
tests\corpus\anvil_bench.exe,1,13,1248,25.2016,2.45753,66.0216,86.1402,0
tests\corpus\anvil_bench.exe,3,64,1520,159.149,28.1483,392.617,416.704,0
tests\corpus\anvil_bench.exe,2,22,2342,37.4582,6.12754,122.911,136.681,0
tests\corpus\anvil_bench.exe,3,4,2342,26.7649,4.03501,29.6007,35.6334,0
tests\corpus\anvil_bench.exe,3,127,1495,150.327,27.4279,759.944,811.344,0
tests\corpus\anvil_bench.exe,2,128,1488,81.6883,13.2867,850.242,865.333,0
tests\corpus\anvil_bench.exe,2,43,501,40.1598,5.53546,308.965,316.891,0
tests\corpus\anvil_bench.exe,2,42,1489,84.9149,14.3459,299.034,309.539,0
tests\corpus\anvil_bench.exe,3,7,432,26.7015,2.66001,45.6142,52.0511,0
tests\corpus\anvil_bench.exe,1,15,841,25.0992,2.58253,99.5859,108.86,0
tests\corpus\anvil_bench.exe,3,98,1488,98.6832,19.7425,588.73,624.282,0
tests\corpus\anvil_bench.exe,1,10,1481,25.246,2.45753,61.4558,68.5944,0
tests\corpus\anvil_bench.exe,3,128,1474,76.4713,14.4321,780.517,818.946,0
tests\corpus\anvil_bench.exe,3,4,154,26.0597,3.53501,30.301,33.9066,0
tests\corpus\anvil_bench.exe,1,5,591,25.0077,2.20753,27.9758,35.2638,0
tests\corpus\anvil_bench.exe,2,9,1427,44.3543,6.63962,56.5089,68.2404,0
tests\corpus\anvil_bench.exe,1,5,820,25.0926,2.20753,29.0466,36.6986,0
tests\corpus\anvil_bench.exe,2,8,3535,35.8598,4.62754,42.9026,51.5794,0
tests\corpus\anvil_bench.exe,1,6,3719,25.485,2.45753,37.0173,42.5478,0
tests\corpus\anvil_bench.exe,1,6,3958,25.5012,3.45753,31.3094,38.6769,0
tests\corpus\anvil_bench.exe,2,9,4950,42.153,5.38962,46.5875,56.9849,0
tests\corpus\anvil_bench.exe,2,9,1492,32.8092,4.37754,42.883,54.291,0
tests\corpus\anvil_bench.exe,1,4,2977,25.4272,2.45753,27.2884,32.5016,0
tests\corpus\anvil_bench.exe,1,8,1072,25.1621,3.20753,32.9028,45.2455,0
tests\corpus\anvil_bench.exe,1,5,82,19.2475,1.5674,26.8137,34.7781,0
tests\corpus\anvil_bench.exe,1,8,703,25.0527,2.33253,41.1865,50.0861,0
tests\corpus\anvil_bench.exe,1,5,11192,25.7711,2.70753,30.8524,38.0659,0
tests\corpus\anvil_bench.exe,1,4,85,19.2567,1.5674,22.1521,27.8381,0
tests\corpus\anvil_bench.exe,2,12,83,36.6869,5.74949,68.6459,79.469,0
