file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\generated.jsonl,2,117,231524,156.093,19.2632,589.393,671.959,0
tests\corpus\generated.jsonl,2,2048,26280,1227.67,155.87,9865.6,11637.4,0
tests\corpus\generated.jsonl,2,177,939,85.7061,10.2913,848.537,1015.53,0
tests\corpus\generated.jsonl,2,231,231540,199.145,26.4265,1113.78,1332.76,0
tests\corpus\generated.jsonl,2,122,144994,169.719,21.274,616.798,685.178,0
tests\corpus\generated.jsonl,2,412,18770,238.045,30.6149,1969.36,2365.71,0
tests\corpus\generated.jsonl,2,2048,140769,1091.21,142.788,9898.8,11656.7,0
tests\corpus\generated.jsonl,2,1892,4707,1112.34,134.64,9190.01,10752,0
tests\corpus\generated.jsonl,2,298,145007,266.696,37.532,1452.44,1700.17,0
tests\corpus\generated.jsonl,2,2048,939,1267.2,152.876,9919.12,11657.8,0
tests\corpus\generated.jsonl,2,358,144994,334.485,44.6446,1746.06,2015.07,0
tests\corpus\generated.jsonl,2,2048,1878,1224.96,148.858,9880.65,11627.6,0
tests\corpus\generated.jsonl,2,2048,3756,1173.52,137.823,9906.45,11610.2,0
tests\corpus\generated.jsonl,2,478,4695,307.25,34.7156,2318.5,2721.76,0
tests\corpus\generated.jsonl,2,117,231608,157.867,19.2668,586.42,658.731,0
tests\corpus\generated.jsonl,2,2048,26295,1272.19,156.899,9862.54,11647.3,0
tests\corpus\generated.jsonl,2,176,4692,82.5672,10.2913,842.132,1006.64,0
tests\corpus\generated.jsonl,2,353,231607,327.542,43.6374,1723.6,1988.67,0
tests\corpus\generated.jsonl,2,2048,26295,1319.51,156.903,9922.51,11646,0
tests\corpus\generated.jsonl,2,2048,4691,1149,138.805,9907.02,11605.2,0
tests\corpus\generated.jsonl,2,944,1877,602.104,72.3703,4584.2,5365.15,0
tests\corpus\generated.jsonl,2,355,176919,329.981,45.6374,1732.97,2006.68,0
tests\corpus\generated.jsonl,2,2048,939,1208.65,146.844,9892.45,11645.1,0
tests\corpus\generated.jsonl,2,2048,1878,1178.09,143.819,9922.31,11606.4,0
tests\corpus\generated.jsonl,2,948,4695,544.471,66.3488,4581.93,5383.33,0
tests\corpus\generated.jsonl,2,118,231607,160.656,20.2668,594.191,667.993,0
tests\corpus\generated.jsonl,2,1051,18772,572.184,69.4509,5080.64,5982.89,0
tests\corpus\generated.jsonl,1,5,144994,31.6862,5.06309,33.5784,27.6557,0
tests\corpus\generated.jsonl,2,1167,3753,653.193,80.6427,5635.46,6626.55,0
tests\corpus\generated.jsonl,2,353,231606,335.399,43.6338,1730.8,2010.5,0
tests\corpus\generated.jsonl,2,286,18769,173.911,19.4399,1388.98,1657.82,0
tests\corpus\generated.jsonl,1,6,85,19.2567,3.05376,25.7268,43.9898,0
tests\corpus\generated.jsonl,2,297,235,188.308,25.4785,1422.69,1689.83,0
tests\corpus\generated.jsonl,2,350,469,287.61,41.562,1703,1975.48,0
tests\corpus\generated.jsonl,1,112,468,24.9472,3.05846,516.244,650.222,0
tests\corpus\generated.jsonl,2,465,938,287.82,35.6966,2239.91,2624.06,0
tests\corpus\generated.jsonl,2,350,1173,285.944,36.5536,1717.73,1969.37,0
tests\corpus\generated.jsonl,2,818,938,435.598,50.135,3949.47,4621.78,0
tests\corpus\generated.jsonl,2,116,1173,114.813,15.2352,580.594,652.061,0
tests\corpus\generated.jsonl,1,114,939,25.1278,4.05846,528.862,663.217,0
tests\corpus\generated.jsonl,2,700,1876,425.956,50.9919,3396.83,3970.56,0
tests\corpus\generated.jsonl,2,116,2346,111.055,13.2352,576.101,655.46,0
tests\corpus\generated.jsonl,2,1052,1877,599.97,72.4499,5074.7,5946.84,0
tests\corpus\generated.jsonl,2,2048,1878,1274.87,157.817,9939.17,11536.3,0
tests\corpus\generated.jsonl,2,2039,1878,1229.34,152.8,9868.9,11470.4,0
tests\corpus\generated.jsonl,2,2045,4695,1175.25,143.772,9887.19,11519.5,0
tests\corpus\generated.jsonl,2,425,939,208.393,25.6243,2048.77,2408.96,0
tests\corpus\generated.jsonl,2,352,1407,282.3,38.5536,1723.83,1985.45,0
tests\corpus\generated.jsonl,2,818,3755,454.427,53.1406,3946.58,4635.56,0
tests\corpus\generated.jsonl,2,1168,3753,691.549,82.6239,5663.49,6583.67,0
tests\corpus\generated.jsonl,2,117,3517,128.058,16.2409,586.523,656.093,0
tests\corpus\generated.jsonl,2,2048,13140,1294.46,157.826,9914.01,11558,0
tests\corpus\generated.jsonl,2,1349,4690,763.313,89.8666,6528.93,7593.78,0
tests\corpus\generated.jsonl,2,352,5393,303.041,40.5676,1716.28,1986.77,0
tests\corpus\generated.jsonl,2,2048,14078,1207.08,155.792,9901.9,11567.5,0
tests\corpus\generated.jsonl,1,7,235,24.7689,4.05846,32.6188,44.5737,0
tests\corpus\generated.jsonl,2,1879,1894,1266.2,153.641,9114.86,10581.9,0
tests\corpus\generated.jsonl,2,2048,1878,1131.71,142.755,9908.55,11563.8,0
tests\corpus\generated.jsonl,2,117,14328,127.431,17.2437,580.558,658.81,0
tests\corpus\generated.jsonl,2,2048,8465,1338.55,163.859,9893.14,11564.1,0
tests\corpus\generated.jsonl,2,1116,4693,624.987,76.5243,5398.29,6313.17,0
tests\corpus\generated.jsonl,2,1401,26295,885.097,109.963,6771.95,7900,0
tests\corpus\generated.jsonl,2,117,14325,128.47,16.2437,578.775,658.082,0
tests\corpus\generated.jsonl,2,346,15966,194.184,24.5142,1650.24,1981.38,0
tests\corpus\generated.jsonl,2,230,14322,168.467,23.4041,1105.91,1318.6,0
tests\corpus\generated.jsonl,1,5,3406,25.4622,4.05846,31.5886,27.8644,0
tests\corpus\generated.jsonl,2,227,4682,128.019,16.3816,1086.96,1294.12,0
tests\corpus\generated.jsonl,2,231,14083,142.017,18.3901,1115.38,1325.46,0
tests\corpus\generated.jsonl,2,230,233,150.56,22.3929,1112.11,1320.38,0
tests\corpus\generated.jsonl,2,230,14315,177.436,24.4041,1112.1,1325,0
tests\corpus\generated.jsonl,2,117,14314,124.519,16.2409,586.606,666.754,0
tests\corpus\generated.jsonl,2,346,18769,181.748,23.5105,1647.03,1978.45,0
tests\corpus\generated.jsonl,2,229,23461,147.996,18.3948,1098.64,1309,0
tests\corpus\generated.jsonl,2,230,14311,160.98,21.3985,1109.47,1319.36,0
tests\corpus\generated.jsonl,2,117,14310,117.996,17.2437,570.777,657.911,0
tests\corpus\generated.jsonl,2,346,28153,190.89,24.5161,1645.23,1975.49,0
tests\corpus\generated.jsonl,2,464,14308,337.326,48.7191,2237.99,2636.39,0
tests\corpus\generated.jsonl,2,228,3732,124.283,15.3816,1092.43,1293.97,0
tests\corpus\generated.jsonl,1,5,6206,25.6179,4.05846,31.2843,28.0762,0
tests\corpus\generated.jsonl,2,584,1636,460.551,60.9099,2837.19,3282,0
tests\corpus\generated.jsonl,2,2048,1870,1218.61,149.795,9879.61,11576.8,0
tests\corpus\generated.jsonl,2,2038,935,1186.38,144.775,9846.32,11481.8,0
tests\corpus\generated.jsonl,2,230,28598,180.548,25.4088,1108.42,1314.44,0
tests\corpus\generated.jsonl,2,230,14269,167.36,23.4013,1107.07,1316.32,0
tests\corpus\generated.jsonl,2,230,28597,178.754,24.406,1111.85,1322.05,0
tests\corpus\generated.jsonl,2,117,14267,116.428,16.238,578.789,658.572,0
tests\corpus\generated.jsonl,2,1281,4675,719.892,89.7866,6155.99,7224,0
